latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
45.280418,-66.01844,009,028,1886,6716,2025-02-15,1507,L9,low,D
45.279629,-66.017633,009,028,1888,6719,2025-02-15,1507,L9,low,D
45.279639,-66.017251,009,028,1889,6719,2025-02-15,1507,L9,high,D
45.280418,-66.01844,009,029,3406,1496,2025-02-15,1507,L9,high,D
45.279899,-66.017647,009,029,3408,1498,2025-02-15,1507,L9,high,D
45.279909,-66.017265,009,029,3409,1498,2025-02-15,1507,L9,low,D
32.299237,-81.400276,017,038,5901,1868,2025-02-15,1600,L8,high,D
30.084046,-83.277,017,039,1112,4691,2025-02-15,1601,L8,high,D
30.084051,-83.276689,017,039,1113,4691,2025-02-15,1601,L8,high,D
30.285419,-83.196197,017,039,1386,3952,2025-02-15,1601,L8,high,D
30.284336,-83.196173,017,039,1386,3956,2025-02-15,1601,L8,high,D
30.284612,-83.195868,017,039,1387,3955,2025-02-15,1601,L8,high,D
30.43836,-83.161516,017,039,1508,3389,2025-02-15,1601,L8,high,D
30.438089,-83.16151,017,039,1508,3390,2025-02-15,1601,L8,high,D
30.444134,-83.156021,017,039,1526,3368,2025-02-15,1601,L8,high,D
30.444139,-83.155709,017,039,1527,3368,2025-02-15,1601,L8,medium,D
30.443869,-83.155703,017,039,1527,3369,2025-02-15,1601,L8,high,D
30.278574,-83.152079,017,039,1527,3980,2025-02-15,1601,L8,high,D
30.443874,-83.155391,017,039,1528,3369,2025-02-15,1601,L8,high,D
30.443608,-83.155072,017,039,1529,3370,2025-02-15,1601,L8,high,D
30.443614,-83.15476,017,039,1530,3370,2025-02-15,1601,L8,high,D
30.443619,-83.154448,017,039,1531,3370,2025-02-15,1601,L8,high,D
30.443624,-83.154136,017,039,1532,3370,2025-02-15,1601,L8,high,D
30.443629,-83.153824,017,039,1533,3370,2025-02-15,1601,L8,high,D
30.443634,-83.153511,017,039,1534,3370,2025-02-15,1601,L8,high,D
30.338256,-83.024524,017,039,1940,3767,2025-02-15,1601,L8,high,D
30.338531,-83.024217,017,039,1941,3766,2025-02-15,1601,L8,high,D
30.338261,-83.024212,017,039,1941,3767,2025-02-15,1601,L8,high,D
30.338536,-83.023905,017,039,1942,3766,2025-02-15,1601,L8,high,D
30.338541,-83.023593,017,039,1943,3766,2025-02-15,1601,L8,high,D
30.403885,-83.015886,017,039,1972,3525,2025-02-15,1601,L8,high,D
29.688004,-82.980356,017,039,2040,6172,2025-02-15,1601,L8,high,D
29.804171,-82.940434,017,039,2176,5745,2025-02-15,1601,L8,high,D
30.161707,-82.940859,017,039,2197,4424,2025-02-15,1601,L8,high,D
30.161983,-82.940553,017,039,2198,4423,2025-02-15,1601,L8,high,D
30.161712,-82.940548,017,039,2198,4424,2025-02-15,1601,L8,high,D
30.073118,-82.928236,017,039,2232,4752,2025-02-15,1601,L8,medium,D
30.074751,-82.927645,017,039,2234,4746,2025-02-15,1601,L8,medium,D
30.07448,-82.92764,017,039,2234,4747,2025-02-15,1601,L8,high,D
30.074755,-82.927334,017,039,2235,4746,2025-02-15,1601,L8,high,D
30.07476,-82.927023,017,039,2236,4746,2025-02-15,1601,L8,high,D
30.074489,-82.927018,017,039,2236,4747,2025-02-15,1601,L8,high,D
29.537984,-82.873112,017,039,2377,6732,2025-02-15,1601,L8,high,D
29.537713,-82.873107,017,039,2377,6733,2025-02-15,1601,L8,high,D
29.537442,-82.873102,017,039,2377,6734,2025-02-15,1601,L8,high,D
29.537172,-82.873097,017,039,2377,6735,2025-02-15,1601,L8,high,D
29.537988,-82.872802,017,039,2378,6732,2025-02-15,1601,L8,high,D
29.537717,-82.872797,017,039,2378,6733,2025-02-15,1601,L8,high,D
29.537447,-82.872792,017,039,2378,6734,2025-02-15,1601,L8,high,D
29.537176,-82.872787,017,039,2378,6735,2025-02-15,1601,L8,high,D
29.538263,-82.872498,017,039,2379,6731,2025-02-15,1601,L8,high,D
29.537992,-82.872493,017,039,2379,6732,2025-02-15,1601,L8,high,D
29.538267,-82.872189,017,039,2380,6731,2025-02-15,1601,L8,high,D
29.538272,-82.871879,017,039,2381,6731,2025-02-15,1601,L8,high,D
29.538276,-82.87157,017,039,2382,6731,2025-02-15,1601,L8,high,D
30.172211,-82.752291,017,039,2803,4395,2025-02-15,1601,L8,high,D
29.606482,-82.732509,017,039,2835,6486,2025-02-15,1601,L8,medium,D
29.605941,-82.7325,017,039,2835,6488,2025-02-15,1601,L8,medium,D
29.990043,-82.732291,017,039,2857,5069,2025-02-15,1601,L8,low,D
29.659322,-82.70738,017,039,2919,6292,2025-02-15,1601,L8,high,D
29.724103,-82.636216,017,039,3152,6056,2025-02-15,1601,L8,high,D
30.057326,-82.591572,017,039,3313,4827,2025-02-15,1601,L8,low,D
30.057055,-82.591567,017,039,3313,4828,2025-02-15,1601,L8,high,D
29.644835,-82.565208,017,039,3377,6352,2025-02-15,1601,L8,high,D
29.644564,-82.565203,017,039,3377,6353,2025-02-15,1601,L8,high,D
29.644839,-82.564898,017,039,3378,6352,2025-02-15,1601,L8,high,D
29.644568,-82.564894,017,039,3378,6353,2025-02-15,1601,L8,high,D
29.645413,-82.562118,017,039,3387,6350,2025-02-15,1601,L8,high,D
29.644601,-82.562105,017,039,3387,6353,2025-02-15,1601,L8,medium,D
30.030906,-82.560041,017,039,3413,4926,2025-02-15,1601,L8,medium,D
30.030635,-82.560036,017,039,3413,4927,2025-02-15,1601,L8,high,D
30.030364,-82.560032,017,039,3413,4928,2025-02-15,1601,L8,medium,D
30.030909,-82.559729,017,039,3414,4926,2025-02-15,1601,L8,high,D
29.470378,-82.431968,017,039,3799,7002,2025-02-15,1601,L8,high,D
30.05308,-82.367466,017,039,4033,4852,2025-02-15,1601,L8,high,D
30.054437,-82.367174,017,039,4034,4847,2025-02-15,1601,L8,high,D
30.054166,-82.36717,017,039,4034,4848,2025-02-15,1601,L8,high,D
30.053895,-82.367166,017,039,4034,4849,2025-02-15,1601,L8,high,D
30.053625,-82.367163,017,039,4034,4850,2025-02-15,1601,L8,high,D
30.053354,-82.367159,017,039,4034,4851,2025-02-15,1601,L8,high,D
29.868214,-82.338848,017,039,4117,5536,2025-02-15,1601,L8,high,D
29.868488,-82.338541,017,039,4118,5535,2025-02-15,1601,L8,high,D
