latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
19.39642,-155.28239,331.2,1,1,2025-02-15,0039,A,55,6.1NRT,307.96,18.11,D
19.40651,-155.27463,352.62,1,1,2025-02-15,0039,A,96,6.1NRT,315.27,57.75,D
19.40517,-155.28384,350.27,1,1,2025-02-15,0039,A,90,6.1NRT,310.55,51.64,D
19.41526,-155.27606,341.11,1,1,2025-02-15,0039,A,88,6.1NRT,309.61,37.29,D
20.22008,-75.18998,306.11,1.94,1.36,2025-02-15,0158,T,67,6.1NRT,294.82,14.49,N
20.2138,-75.19518,315.02,1.94,1.36,2025-02-15,0158,T,90,6.1NRT,294.97,30.36,N
20.43309,-76.09099,303.75,2.24,1.45,2025-02-15,0158,T,57,6.1NRT,293.36,14.39,N
20.43301,-76.09742,305.11,2.24,1.45,2025-02-15,0158,T,63,6.1NRT,293.45,16.73,N
20.53939,-76.0135,306.23,2.2,1.44,2025-02-15,0158,T,67,6.1NRT,293.43,19.83,N
20.54004,-76.0192,303.91,2.2,1.44,2025-02-15,0158,T,58,6.1NRT,293.14,16.26,N
20.91686,-77.34985,303.3,2.73,1.58,2025-02-15,0158,T,52,6.1NRT,291.28,22.68,N
23.6027,-98.2943,300.95,1.32,1.14,2025-02-15,0336,T,36,6.1NRT,284.75,8.35,N
17.89536,-92.49086,317.31,1.02,1.01,2025-02-15,0334,T,95,6.1NRT,289.45,14.57,N
17.83971,-93.11352,360.06,1,1,2025-02-15,0334,T,100,6.1NRT,291.15,85.22,N
17.83845,-93.12271,360.54,1,1,2025-02-15,0334,T,100,6.1NRT,291.7,86.48,N
17.84724,-93.12406,318.03,1,1,2025-02-15,0334,T,96,6.1NRT,291.1,14.39,N
17.89237,-93.18732,314.94,1,1,2025-02-15,0334,T,90,6.1NRT,281.79,13.26,N
17.90526,-93.17636,300.06,1,1,2025-02-15,0334,T,8,6.1NRT,282.53,3.17,N
17.904,-93.18555,336.88,1,1,2025-02-15,0334,T,100,6.1NRT,285.5,38.61,N
17.91246,-93.38386,300.82,1,1,2025-02-15,0334,T,34,6.1NRT,286.27,3.81,N
18.09832,-94.34814,301.7,1.02,1.01,2025-02-15,0334,T,43,6.1NRT,284.12,5.39,N
18.51531,-92.19933,302.66,1.05,1.02,2025-02-15,0334,T,51,6.1NRT,287.66,4.29,N
18.5401,-98.4957,301.49,1.66,1.27,2025-02-15,0334,T,42,6.1NRT,290.81,9.1,N
20.92037,-77.34941,303.1,1,1,2025-02-15,0752,A,53,6.1NRT,292.07,5.01,N
20.55427,-76.03529,304.79,1.04,1.02,2025-02-15,0752,A,62,6.1NRT,292.72,6.28,N
20.43405,-76.0985,302.53,1.04,1.02,2025-02-15,0752,A,50,6.1NRT,290.29,5.87,N
19.72639,-102.72376,302.71,1.01,1,2025-02-15,0932,A,51,6.1NRT,285.34,7.38,N
18.5051,-96.14429,305.94,2.09,1.41,2025-02-15,0932,A,66,6.1NRT,275.02,26,N
18.41218,-96.20956,324.42,2.08,1.4,2025-02-15,0932,A,100,6.1NRT,283.89,70.15,N
29.65236,-90.412,313.72,1.13,1.06,2025-02-15,1541,T,73,6.1NRT,288.9,12.65,D
27.16327,-81.15227,317.71,2.33,1.48,2025-02-15,1541,T,73,6.1NRT,294.33,40.65,D
26.42248,-81.64256,312.63,2.23,1.45,2025-02-15,1541,T,66,6.1NRT,295.61,23.62,D
22.82087,-82.65457,309.18,2.26,1.46,2025-02-15,1541,T,57,6.1NRT,290.85,19.85,D
20.09793,-90.31654,305.01,1,1,2025-02-15,1543,T,46,6.1NRT,277.14,4.82,D
