latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
19.40659,-155.27052,333.16,0.34,0.56,2025-02-15,0009,N,nominal,2.0NRT,291.74,2.44,D
19.41182,-155.27107,333.2,0.34,0.56,2025-02-15,0009,N,nominal,2.0NRT,302.8,2.44,D
19.41044,-155.28461,335.96,0.34,0.56,2025-02-15,0009,N,nominal,2.0NRT,296.79,3.18,D
19.41008,-155.2881,349.17,0.34,0.56,2025-02-15,0009,N,nominal,2.0NRT,307.14,3.18,D
36.35473,-76.81219,295.39,0.77,0.78,2025-02-15,0550,N,nominal,2.0NRT,272.41,1.63,N
20.55036,-76.03654,308.25,0.52,0.67,2025-02-15,0554,N,nominal,2.0NRT,290.17,1.33,N
20.54412,-76.03724,309.14,0.52,0.67,2025-02-15,0554,N,nominal,2.0NRT,290.13,1.33,N
20.54186,-76.01126,309.06,0.52,0.67,2025-02-15,0554,N,nominal,2.0NRT,290.34,1.34,N
20.43825,-76.09512,304.37,0.53,0.67,2025-02-15,0554,N,nominal,2.0NRT,289.84,1.95,N
20.43244,-76.10085,337.63,0.53,0.67,2025-02-15,0554,N,nominal,2.0NRT,290.63,4.83,N
20.43199,-76.09568,322.95,0.53,0.67,2025-02-15,0554,N,nominal,2.0NRT,289.77,1.95,N
20.43288,-76.10603,312.04,0.53,0.67,2025-02-15,0554,N,nominal,2.0NRT,290.32,4.83,N
20.42528,-76.09106,303.78,0.53,0.67,2025-02-15,0554,N,nominal,2.0NRT,289.3,0.97,N
20.32624,-75.11179,328.63,0.45,0.63,2025-02-15,0554,N,nominal,2.0NRT,289.21,3.73,N
20.32764,-75.11186,321.15,0.45,0.63,2025-02-15,0554,N,nominal,2.0NRT,288.83,1.96,N
20.3218,-75.11282,307.58,0.45,0.63,2025-02-15,0554,N,nominal,2.0NRT,288.75,1.96,N
20.21591,-75.18989,310.54,0.46,0.63,2025-02-15,0554,N,nominal,2.0NRT,289.99,1.97,N
20.2707,-75.88052,303.14,0.51,0.66,2025-02-15,0554,N,nominal,2.0NRT,290.11,0.89,N
20.21253,-75.19117,314.12,0.46,0.63,2025-02-15,0554,N,nominal,2.0NRT,287.64,1.38,N
20.26572,-75.88126,304.14,0.51,0.66,2025-02-15,0554,N,nominal,2.0NRT,290.41,1.03,N
19.46529,-70.78451,314.8,0.47,0.47,2025-02-15,0554,N,nominal,2.0NRT,289.15,1.77,N
18.8624,-72.05674,303.5,0.55,0.51,2025-02-15,0557,N,nominal,2.0NRT,292.18,0.87,N
18.74532,-71.68042,304.68,0.52,0.5,2025-02-15,0557,N,nominal,2.0NRT,285.32,0.92,N
18.00925,-66.65523,301.77,0.41,0.37,2025-02-15,0557,N,nominal,2.0NRT,291.28,0.42,N
18.00644,-66.6547,303.31,0.41,0.37,2025-02-15,0557,N,nominal,2.0NRT,290.69,0.87,N
19.47632,-89.41309,310.72,0.38,0.36,2025-02-15,0735,N,nominal,2.0NRT,284.4,0.83,N
19.60304,-92.292,331.06,0.44,0.38,2025-02-15,0735,N,nominal,2.0NRT,288.52,4.03,N
19.59953,-92.29256,330.64,0.44,0.38,2025-02-15,0735,N,nominal,2.0NRT,286.74,4.03,N
19.52407,-92.1907,338.09,0.43,0.38,2025-02-15,0735,N,nominal,2.0NRT,285.91,3.82,N
19.52057,-92.19125,307.51,0.43,0.38,2025-02-15,0735,N,nominal,2.0NRT,284.77,3.82,N
19.44068,-92.03587,300.24,0.42,0.38,2025-02-15,0735,N,nominal,2.0NRT,277.28,2.1,N
19.43721,-92.03644,308.39,0.42,0.38,2025-02-15,0735,N,nominal,2.0NRT,276.24,1.86,N
20.60288,-103.34689,301.7,0.7,0.75,2025-02-15,0735,N,nominal,2.0NRT,284.47,0.92,N
20.60399,-103.34627,300.02,0.7,0.75,2025-02-15,0735,N,nominal,2.0NRT,284.88,1.61,N
36.62621,-81.09558,298.45,0.46,0.39,2025-02-15,0733,N,nominal,2.0NRT,268.12,0.59,N
20.51885,-103.43152,298.17,0.71,0.75,2025-02-15,0735,N,nominal,2.0NRT,285.31,1.55,N
35.69842,-80.97675,297.87,0.48,0.4,2025-02-15,0733,N,nominal,2.0NRT,273.42,0.59,N
19.30276,-92.2021,308.5,0.43,0.38,2025-02-15,0735,N,nominal,2.0NRT,281.29,1.53,N
35.08221,-83.01186,320.2,0.42,0.37,2025-02-15,0733,N,nominal,2.0NRT,267.77,1.57,N
19.30216,-92.20135,313.54,0.43,0.38,2025-02-15,0735,N,nominal,2.0NRT,278.91,1.54,N
34.15118,-79.5595,296.77,0.39,0.44,2025-02-15,0733,N,nominal,2.0NRT,278.88,0.42,N
20.05083,-99.29285,310.83,0.38,0.59,2025-02-15,0735,N,nominal,2.0NRT,283.22,2.55,N
33.0147,-79.88615,337.62,0.4,0.44,2025-02-15,0733,N,nominal,2.0NRT,281.51,3.92,N
20.05046,-99.28912,297.52,0.38,0.59,2025-02-15,0735,N,nominal,2.0NRT,283.45,3.04,N
33.00583,-79.8843,301.36,0.4,0.44,2025-02-15,0733,N,nominal,2.0NRT,280.91,0.65,N
33.00495,-79.8801,297.17,0.4,0.44,2025-02-15,0733,N,nominal,2.0NRT,280.56,0.65,N
20.04913,-99.29231,319.46,0.38,0.59,2025-02-15,0735,N,nominal,2.0NRT,284.12,3.46,N
32.6833,-82.11452,304.12,0.47,0.4,2025-02-15,0733,N,nominal,2.0NRT,279,1.53,N
20.04874,-99.28858,295.69,0.38,0.59,2025-02-15,0735,N,nominal,2.0NRT,284.9,3.32,N
32.34316,-81.3882,305.77,0.52,0.41,2025-02-15,0733,N,nominal,2.0NRT,280.17,1.13,N
33.44802,-88.58179,300.17,0.42,0.38,2025-02-15,0733,N,nominal,2.0NRT,282.51,0.76,N
20.03086,-99.27511,306.06,0.38,0.58,2025-02-15,0735,N,nominal,2.0NRT,282.13,1.33,N
20.03049,-99.27144,301.26,0.38,0.58,2025-02-15,0735,N,nominal,2.0NRT,282.2,1.33,N
33.44616,-88.56817,298.15,0.42,0.38,2025-02-15,0733,N,nominal,2.0NRT,281.51,0.48,N
19.63838,-98.96821,295.72,0.36,0.57,2025-02-15,0735,N,nominal,2.0NRT,280.4,1.82,N
33.43924,-88.56952,328.43,0.42,0.38,2025-02-15,0733,N,nominal,2.0NRT,283.35,2.44,N
18.64744,-92.17177,319.36,0.42,0.38,2025-02-15,0735,N,nominal,2.0NRT,286.77,1.89,N
32.4155,-101.64281,340.16,0.69,0.74,2025-02-15,0733,N,nominal,2.0NRT,278.33,7.25,N
18.64601,-92.1706,343.24,0.42,0.38,2025-02-15,0735,N,nominal,2.0NRT,288.41,7.73,N
32.40854,-101.64329,325.13,0.69,0.74,2025-02-15,0733,N,nominal,2.0NRT,276.65,4.64,N
32.37835,-101.5767,327.39,0.68,0.74,2025-02-15,0733,N,nominal,2.0NRT,277.8,2.91,N
18.64253,-92.17116,314.9,0.42,0.38,2025-02-15,0735,N,nominal,2.0NRT,286.53,1.46,N
32.37141,-101.5772,303.05,0.68,0.74,2025-02-15,0733,N,nominal,2.0NRT,276,2.91,N
18.63773,-92.50838,334.32,0.44,0.38,2025-02-15,0735,N,nominal,2.0NRT,286,6.51,N
19.7297,-102.72583,297.24,0.63,0.72,2025-02-15,0735,N,nominal,2.0NRT,282.89,1.37,N
32.37235,-101.57918,327.81,0.68,0.74,2025-02-15,0733,N,nominal,2.0NRT,276.2,3.64,N
19.72314,-102.72813,296.69,0.63,0.72,2025-02-15,0735,N,nominal,2.0NRT,282.98,1.37,N
32.31597,-101.55983,297.14,0.68,0.74,2025-02-15,0733,N,nominal,2.0NRT,277.18,0.83,N
19.72619,-102.72665,304.53,0.62,0.72,2025-02-15,0735,N,nominal,2.0NRT,283.33,3.02,N
18.65715,-93.33663,319.02,0.47,0.4,2025-02-15,0735,N,nominal,2.0NRT,289.8,1.19,N
32.21639,-101.8524,342.65,0.7,0.75,2025-02-15,0733,N,nominal,2.0NRT,280.02,5.93,N
19.17611,-98.32137,300.98,0.32,0.54,2025-02-15,0735,N,nominal,2.0NRT,279.05,0.77,N
31.6118,-102.27002,297.59,0.74,0.76,2025-02-15,0735,N,nominal,2.0NRT,276.57,0.87,N
18.48759,-93.34653,309.92,0.47,0.4,2025-02-15,0735,N,nominal,2.0NRT,289.1,0.7,N
18.48769,-93.34528,311.89,0.47,0.4,2025-02-15,0735,N,nominal,2.0NRT,289.33,0.92,N
31.56545,-102.26221,295.29,0.74,0.76,2025-02-15,0735,N,nominal,2.0NRT,277.31,0.6,N
18.48593,-93.35922,317.08,0.47,0.4,2025-02-15,0735,N,nominal,2.0NRT,288.87,0.93,N
18.48084,-93.45631,305.7,0.48,0.4,2025-02-15,0735,N,nominal,2.0NRT,287.36,0.84,N
29.75999,-93.87426,301.28,0.45,0.47,2025-02-15,0735,N,nominal,2.0NRT,289.17,0.72,N
18.4397,-93.16325,308.52,0.46,0.39,2025-02-15,0735,N,nominal,2.0NRT,285.62,1.1,N
18.42106,-93.18846,330.39,0.46,0.39,2025-02-15,0735,N,nominal,2.0NRT,286.36,2.69,N
29.75615,-93.87961,302.19,0.45,0.47,2025-02-15,0735,N,nominal,2.0NRT,289.44,0.88,N
18.96966,-97.96248,301.99,0.6,0.53,2025-02-15,0735,N,nominal,2.0NRT,283.51,1.2,N
26.28209,-80.1551,309.56,0.52,0.5,2025-02-15,0735,N,nominal,2.0NRT,291.65,1.48,N
18.96817,-97.96324,304.17,0.6,0.53,2025-02-15,0735,N,nominal,2.0NRT,284.45,2.44,N
19.02331,-98.62552,302.85,0.33,0.56,2025-02-15,0735,N,nominal,2.0NRT,271.76,0.97,N
25.86042,-80.34248,304.69,0.52,0.5,2025-02-15,0735,N,nominal,2.0NRT,291.62,0.66,N
19.02299,-98.6227,298.14,0.33,0.56,2025-02-15,0735,N,nominal,2.0NRT,267.13,0.29,N
18.04023,-93.0645,300.11,0.45,0.39,2025-02-15,0735,N,nominal,2.0NRT,275.63,1.37,N
27.36195,-90.18229,317.35,0.42,0.38,2025-02-15,0735,N,nominal,2.0NRT,294.72,2.99,N
18.06723,-93.31269,305.91,0.46,0.39,2025-02-15,0735,N,nominal,2.0NRT,287.51,0.6,N
18.0636,-93.31326,305.36,0.46,0.39,2025-02-15,0735,N,nominal,2.0NRT,286.83,0.9,N
27.22616,-91.19157,306.4,0.46,0.39,2025-02-15,0735,N,nominal,2.0NRT,291.68,0.66,N
18.71371,-98.66113,310.25,0.33,0.55,2025-02-15,0735,N,nominal,2.0NRT,286.43,1.35,N
23.08625,-81.27298,302.6,0.51,0.5,2025-02-15,0735,N,nominal,2.0NRT,292.31,1.5,N
18.71334,-98.6579,301.28,0.33,0.55,2025-02-15,0735,N,nominal,2.0NRT,286.47,0.9,N
18.00815,-93.45142,320.11,0.47,0.4,2025-02-15,0735,N,nominal,2.0NRT,288.62,1.49,N
23.05119,-82.29987,303.48,0.45,0.47,2025-02-15,0735,N,nominal,2.0NRT,290.79,1.05,N
18.0045,-93.45199,302.43,0.47,0.4,2025-02-15,0735,N,nominal,2.0NRT,288.83,0.8,N
17.94384,-93.28127,328.07,0.46,0.39,2025-02-15,0735,N,nominal,2.0NRT,287.58,2.74,N
23.04953,-82.3026,303.43,0.45,0.47,2025-02-15,0735,N,nominal,2.0NRT,290.59,1.18,N
17.94378,-93.28359,311.66,0.46,0.39,2025-02-15,0735,N,nominal,2.0NRT,286.14,1.25,N
17.94316,-93.27923,304.47,0.46,0.39,2025-02-15,0735,N,nominal,2.0NRT,287.41,1.05,N
22.81129,-81.57064,305.6,0.5,0.49,2025-02-15,0735,N,nominal,2.0NRT,291.37,1.01,N
17.9037,-93.18348,306.59,0.46,0.39,2025-02-15,0735,N,nominal,2.0NRT,285.16,11.36,N
22.99061,-82.56054,301.39,0.43,0.46,2025-02-15,0735,N,nominal,2.0NRT,289.16,0.85,N
17.90309,-93.17918,309.07,0.46,0.39,2025-02-15,0735,N,nominal,2.0NRT,285.37,1.53,N
17.96609,-93.65295,329.59,0.48,0.4,2025-02-15,0735,N,nominal,2.0NRT,289.47,4.56,N
22.86458,-81.98695,301.36,0.47,0.48,2025-02-15,0735,N,nominal,2.0NRT,290.53,0.44,N
17.96546,-93.6484,328.62,0.48,0.4,2025-02-15,0735,N,nominal,2.0NRT,289.61,3.26,N
