latitude,longitude,brightness,acq_date,acq_time
33.09929,-85.27931,2,2025-03-25,232
33.10917,-85.28177,2,2025-03-25,232
26.31477,-107.9882,2,2025-03-25,408
26.31253,-108.00151,2,2025-03-25,408
26.42875,-107.85955,2,2025-03-25,408
26.4385,-107.862,3,2025-03-25,408
26.43626,-107.87544,2,2025-03-25,408
27.38921,-107.14581,2,2025-03-25,410
30.13208,-108.45568,2,2025-03-25,410
30.12998,-108.4683,2,2025-03-25,410
30.173,-108.3876,2,2025-03-25,410
30.17109,-108.39924,2,2025-03-25,410
32.89441,-113.48934,2,2025-03-25,412
30.49812,-109.63501,2,2025-03-25,412
32.41342,-101.63684,2,2025-03-25,412
42.97471,-98.04369,3,2025-03-25,414
46.76407,-68.06335,1,2025-03-25,650
40.02541,-74.25125,1,2025-03-25,652
41.62456,-87.14599,1,2025-03-25,652
41.12753,-80.68674,1,2025-03-25,652
41.46693,-85.68477,1,2025-03-25,652
41.37148,-84.91673,1,2025-03-25,652
41.36661,-84.92123,1,2025-03-25,652
41.22276,-83.20621,1,2025-03-25,652
40.75507,-81.43178,1,2025-03-25,652
39.65323,-80.32584,1,2025-03-25,652
40.39267,-79.85368,1,2025-03-25,652
40.3032,-79.87676,1,2025-03-25,652
40.31107,-80.60928,1,2025-03-25,652
40.31061,-80.60473,1,2025-03-25,652
40.73557,-86.43368,1,2025-03-25,652
40.16181,-79.88989,1,2025-03-25,652
41.6406,-87.40743,1,2025-03-25,652
40.75451,-81.43376,1,2025-03-25,652
41.64899,-87.6329,1,2025-03-25,652
41.46885,-83.36874,1,2025-03-25,652
41.63581,-87.13995,2,2025-03-25,652
42.94308,-82.41527,1,2025-03-25,652
42.81486,-81.32538,1,2025-03-25,652
42.29874,-83.15349,1,2025-03-25,652
41.75118,-81.28424,1,2025-03-25,652
41.45655,-81.67865,1,2025-03-25,652
41.45226,-81.67928,1,2025-03-25,652
41.45179,-81.67381,1,2025-03-25,652
41.63538,-87.12943,1,2025-03-25,652
41.56921,-84.05559,1,2025-03-25,652
41.56825,-84.04127,1,2025-03-25,652
39.08029,-79.69261,1,2025-03-25,652
41.66559,-87.46174,1,2025-03-25,652
41.65908,-87.6227,1,2025-03-25,652
41.6372,-87.14091,2,2025-03-25,652
41.63683,-87.13036,1,2025-03-25,652
41.66595,-87.46044,1,2025-03-25,652
41.56873,-84.04842,1,2025-03-25,652
39.00328,-79.45759,1,2025-03-25,652
40.39333,-79.86002,1,2025-03-25,652
38.6415,-83.13647,1,2025-03-25,652
35.50283,-80.32863,1,2025-03-25,652
35.71247,-78.83525,1,2025-03-25,652
36.49957,-82.40393,1,2025-03-25,652
36.33018,-79.83022,1,2025-03-25,652
36.95291,-81.52904,1,2025-03-25,652
37.2313,-82.04116,1,2025-03-25,652
37.23499,-82.03584,1,2025-03-25,652
37.27415,-79.99972,1,2025-03-25,652
38.77651,-79.39494,1,2025-03-25,652
38.19979,-82.36621,1,2025-03-25,652
37.27123,-79.99877,1,2025-03-25,652
38.59701,-82.83084,1,2025-03-25,652
37.62846,-78.2574,1,2025-03-25,652
38.59653,-82.82534,1,2025-03-25,652
38.11711,-81.36818,1,2025-03-25,652
33.17866,-86.75628,1,2025-03-25,654
33.2273,-87.51286,1,2025-03-25,654
34.98375,-87.91811,1,2025-03-25,654
33.10313,-86.80204,1,2025-03-25,654
35.03815,-82.71027,1,2025-03-25,654
33.09268,-86.80308,1,2025-03-25,654
33.10286,-86.79816,1,2025-03-25,654
33.10228,-86.80132,1,2025-03-25,654
35.48631,-88.84391,1,2025-03-25,654
35.04534,-90.16486,1,2025-03-25,654
33.09294,-86.80684,1,2025-03-25,654
35.05534,-82.71185,1,2025-03-25,654
35.08673,-82.5882,1,2025-03-25,654
33.23247,-87.50828,1,2025-03-25,654
33.10333,-85.27804,1,2025-03-25,654
33.23793,-87.50782,1,2025-03-25,654
34.80092,-88.32513,1,2025-03-25,654
33.09855,-85.27853,1,2025-03-25,654
34.32385,-86.40694,1,2025-03-25,654
35.08801,-82.60145,1,2025-03-25,654
33.54725,-83.53165,1,2025-03-25,654
33.21857,-86.78874,1,2025-03-25,654
33.21884,-86.79249,1,2025-03-25,654
33.54293,-83.53226,1,2025-03-25,654
33.22044,-86.81553,1,2025-03-25,654
33.73359,-86.15337,1,2025-03-25,654
33.1081,-85.27753,1,2025-03-25,654
33.44141,-88.57192,1,2025-03-25,654
33.44774,-88.58114,1,2025-03-25,654
35.00338,-89.91096,1,2025-03-25,654
33.10198,-86.79744,1,2025-03-25,654
32.3128,-90.13587,1,2025-03-25,654
33.09212,-86.80611,1,2025-03-25,654
29.99635,-90.39766,1,2025-03-25,654
30.00259,-90.39723,1,2025-03-25,654
30.00291,-90.40283,1,2025-03-25,654
33.48288,-86.93433,1,2025-03-25,654
30.05585,-90.66928,1,2025-03-25,654
30.06452,-90.59873,1,2025-03-25,654
30.05863,-90.66753,1,2025-03-25,654
30.0614,-90.59733,1,2025-03-25,654
30.3221,-91.23782,1,2025-03-25,654
30.32983,-91.27903,1,2025-03-25,654
30.34236,-88.48302,1,2025-03-25,654
35.14003,-80.49326,1,2025-03-25,654
30.34267,-88.48735,1,2025-03-25,654
35.28422,-82.28935,1,2025-03-25,654
30.94221,-88.0087,1,2025-03-25,654
35.27132,-82.28542,1,2025-03-25,654
30.94252,-88.01282,1,2025-03-25,654
35.26674,-82.28125,1,2025-03-25,654
31.14655,-87.98656,1,2025-03-25,654
35.25674,-82.33511,1,2025-03-25,654
31.15204,-87.98605,1,2025-03-25,654
34.84004,-79.74294,1,2025-03-25,654
31.73401,-88.76473,1,2025-03-25,654
34.83941,-79.73792,1,2025-03-25,654
35.09915,-82.58547,1,2025-03-25,654
32.30244,-87.43225,1,2025-03-25,654
35.09042,-82.58271,1,2025-03-25,654
32.30541,-87.43124,1,2025-03-25,654
35.09257,-82.60473,1,2025-03-25,654
35.08844,-82.60583,1,2025-03-25,654
33.58323,-86.78049,1,2025-03-25,654
33.53418,-86.75788,1,2025-03-25,654
29.59736,-89.89824,1,2025-03-25,657
29.60164,-89.89689,1,2025-03-25,657
28.02791,-81.84138,1,2025-03-25,657
25.04311,-78.04955,1,2025-03-25,657
41.637,-87.14336,1,2025-03-25,716
41.64046,-87.40742,1,2025-03-25,716
41.66006,-87.62279,1,2025-03-25,716
41.62451,-87.14545,1,2025-03-25,716
46.72878,-92.07767,1,2025-03-25,716
43.27444,-79.79482,1,2025-03-25,716
43.27259,-79.80517,1,2025-03-25,716
43.26931,-79.80611,1,2025-03-25,716
43.70245,-88.38512,1,2025-03-25,716
42.81681,-81.32715,1,2025-03-25,716
42.31273,-82.04852,1,2025-03-25,716
42.30643,-83.15195,1,2025-03-25,716
42.29789,-83.17025,1,2025-03-25,716
42.2786,-83.12688,1,2025-03-25,716
42.26697,-83.43651,1,2025-03-25,716
40.30539,-79.8789,1,2025-03-25,716
42.9738,-98.03963,1,2025-03-25,716
41.75091,-81.28311,1,2025-03-25,716
41.46441,-81.67518,1,2025-03-25,716
41.45772,-81.67685,1,2025-03-25,716
41.45438,-81.6777,1,2025-03-25,716
41.45103,-81.67853,1,2025-03-25,716
41.65247,-87.63478,1,2025-03-25,716
38.77703,-79.39631,1,2025-03-25,716
41.62821,-87.36739,1,2025-03-25,716
41.62489,-87.33132,1,2025-03-25,716
40.32615,-79.90129,1,2025-03-25,716
40.309,-80.60851,1,2025-03-25,716
40.39142,-79.85983,1,2025-03-25,716
40.39325,-79.84995,1,2025-03-25,716
40.56874,-83.13714,1,2025-03-25,716
40.39471,-79.85891,1,2025-03-25,716
40.73428,-86.43255,1,2025-03-25,716
40.39398,-79.85442,1,2025-03-25,716
40.3971,-79.85578,1,2025-03-25,716
39.65563,-80.32298,1,2025-03-25,716
40.75497,-81.43192,1,2025-03-25,716
40.75828,-81.43108,1,2025-03-25,716
41.56963,-84.04659,1,2025-03-25,716
39.73208,-82.14767,1,2025-03-25,716
40.66602,-80.34653,1,2025-03-25,716
39.36943,-81.52847,1,2025-03-25,716
40.66931,-80.34565,1,2025-03-25,716
41.36488,-84.92191,1,2025-03-25,716
41.61369,-87.34882,1,2025-03-25,716
41.3686,-84.92115,1,2025-03-25,716
41.616,-87.32752,1,2025-03-25,716
39.07866,-79.69292,1,2025-03-25,716
41.61647,-87.33266,1,2025-03-25,716
41.37165,-84.91448,1,2025-03-25,716
41.62068,-87.33197,1,2025-03-25,716
40.41992,-95.10484,1,2025-03-25,716
41.09352,-83.41788,1,2025-03-25,716
41.56603,-84.04738,1,2025-03-25,716
40.31229,-80.60764,1,2025-03-25,716
41.67112,-87.46049,1,2025-03-25,716
41.64117,-87.14268,1,2025-03-25,716
41.67013,-87.46494,1,2025-03-25,716
41.68386,-87.42558,1,2025-03-25,716
41.62867,-87.14474,1,2025-03-25,716
41.6834,-87.42036,1,2025-03-25,716
41.67917,-87.42104,1,2025-03-25,716
41.22512,-83.21097,1,2025-03-25,716
40.8317,-80.32072,1,2025-03-25,716
41.67161,-87.46574,1,2025-03-25,716
41.67195,-87.42329,1,2025-03-25,716
41.67163,-87.4329,1,2025-03-25,716
41.67293,-87.43375,1,2025-03-25,716
41.64059,-87.13124,1,2025-03-25,716
41.67072,-87.42242,1,2025-03-25,716
41.64104,-87.1363,1,2025-03-25,716
41.66967,-87.45969,1,2025-03-25,716
41.67437,-87.46426,1,2025-03-25,716
41.67064,-87.45526,1,2025-03-25,716
41.64149,-87.14136,1,2025-03-25,716
40.79463,-79.7001,1,2025-03-25,716
40.83232,-79.93471,1,2025-03-25,716
41.63652,-87.1383,1,2025-03-25,716
41.63604,-87.13326,1,2025-03-25,716
41.64021,-87.13259,1,2025-03-25,716
41.46754,-83.36506,1,2025-03-25,716
41.46053,-83.36663,1,2025-03-25,716
41.64069,-87.13763,1,2025-03-25,716
40.82904,-79.93561,1,2025-03-25,716
35.3579,-95.88432,1,2025-03-25,718
35.37464,-95.15975,1,2025-03-25,718
33.57431,-85.33197,1,2025-03-25,718
34.80515,-88.32487,1,2025-03-25,718
36.95322,-81.52895,1,2025-03-25,718
33.64659,-85.88043,1,2025-03-25,718
37.23232,-82.04053,1,2025-03-25,718
37.70015,-85.83866,1,2025-03-25,718
33.5346,-86.75824,1,2025-03-25,718
38.09527,-91.50103,1,2025-03-25,718
33.17906,-83.40999,1,2025-03-25,718
35.37586,-95.18685,1,2025-03-25,718
35.37486,-95.16475,1,2025-03-25,718
36.9565,-81.52815,1,2025-03-25,718
37.69643,-85.83936,1,2025-03-25,718
35.36908,-95.17167,1,2025-03-25,718
35.3756,-95.18111,1,2025-03-25,718
33.58297,-86.7822,1,2025-03-25,718
33.58434,-86.78053,1,2025-03-25,718
35.36957,-95.18256,1,2025-03-25,718
38.00758,-90.08012,1,2025-03-25,718
35.00676,-89.91266,1,2025-03-25,718
38.69556,-90.14931,1,2025-03-25,718
38.64272,-83.13759,1,2025-03-25,718
33.65016,-85.87981,1,2025-03-25,718
34.6379,-89.01639,1,2025-03-25,718
38.71199,-93.21871,1,2025-03-25,718
38.11777,-81.37115,1,2025-03-25,718
34.65644,-95.9155,1,2025-03-25,718
34.32497,-86.40732,1,2025-03-25,718
38.69455,-90.13648,1,2025-03-25,718
34.87774,-91.47343,1,2025-03-25,718
38.20233,-82.36593,1,2025-03-25,718
34.65322,-95.91623,1,2025-03-25,718
35.03441,-96.05618,1,2025-03-25,718
37.45983,-79.99477,1,2025-03-25,718
33.54314,-83.53409,1,2025-03-25,718
33.9949,-85.17088,1,2025-03-25,718
34.83799,-96.33458,1,2025-03-25,718
35.07874,-95.90794,1,2025-03-25,718
34.88211,-91.46628,1,2025-03-25,718
38.11229,-80.00359,1,2025-03-25,718
34.66055,-96.14632,1,2025-03-25,718
37.23495,-82.03542,1,2025-03-25,718
35.2991,-95.00214,1,2025-03-25,718
37.23561,-82.03976,1,2025-03-25,718
33.54978,-83.53268,1,2025-03-25,718
34.23986,-84.79627,1,2025-03-25,718
33.73408,-86.15351,1,2025-03-25,718
38.59966,-82.82732,1,2025-03-25,718
35.16347,-95.36951,1,2025-03-25,718
38.71476,-93.21876,1,2025-03-25,718
38.59902,-82.82272,1,2025-03-25,718
34.62415,-95.89802,1,2025-03-25,718
34.62439,-95.90337,1,2025-03-25,718
37.27528,-80.00014,1,2025-03-25,718
35.16347,-95.37027,1,2025-03-25,718
38.59694,-82.83269,1,2025-03-25,718
35.35738,-95.87222,1,2025-03-25,718
35.0397,-94.82408,1,2025-03-25,718
35.60403,-94.59541,1,2025-03-25,718
35.38113,-95.16872,1,2025-03-25,718
35.09035,-82.58504,1,2025-03-25,718
35.09354,-82.60594,1,2025-03-25,718
35.94873,-89.71127,1,2025-03-25,718
35.94921,-89.71674,1,2025-03-25,718
35.10024,-82.58278,1,2025-03-25,718
35.10088,-82.58697,1,2025-03-25,718
36.12649,-91.16327,1,2025-03-25,718
35.25583,-82.33716,1,2025-03-25,718
35.25912,-82.33643,1,2025-03-25,718
34.83826,-79.74101,1,2025-03-25,718
34.84164,-79.74012,1,2025-03-25,718
35.26716,-82.27812,1,2025-03-25,718
35.26781,-82.28232,1,2025-03-25,718
35.26846,-82.28652,1,2025-03-25,718
35.27045,-82.27737,1,2025-03-25,718
